PICKUPLAT,PICKUPLONG,DROPOFFLAT,DROPOFFLONG
53.516486,-113.491031,53.603882,-113.474375
53.516486,-113.491031,53.603882,-113.474375
53.516486,-113.491031,53.603882,-113.474375
53.600415,-113.425667,53.636376,-113.375209
53.531956,-113.582808,53.560759,-113.563958
53.560759,-113.563958,53.531956,-113.582808
53.531856,-113.583299,53.52321,-113.616518
53.455164,-113.495063,53.470092,-113.411211
53.470092,-113.411211,53.455164,-113.495063
53.585627,-113.413209,53.559537,-113.497126
53.559537,-113.497126,53.585627,-113.413209
53.587309,-113.603569,53.517832,-113.607323
53.47378,-113.527602,53.575461,-113.400363
53.575461,-113.400363,53.47378,-113.527602
53.52883,-113.635252,53.549243,-113.620039
53.488478,-113.673598,53.520365,-113.527807
53.534755,-113.62489,53.544796,-113.531957
53.530603,-113.617797,53.53958,-113.613548
53.53958,-113.613548,53.530603,-113.617797
53.462816,-113.537347,53.559385,-113.525839
53.559385,-113.525839,53.559537,-113.497126
53.520365,-113.527807,53.488478,-113.673598
53.549243,-113.620039,53.508468,-113.632494
53.451552,-113.412624,53.464794,-113.473203
53.464794,-113.473203,53.451552,-113.412624
53.451552,-113.412624,53.480067,-113.470936
53.606058,-113.415504,53.477475,-113.502629
53.542536,-113.591451,53.633744,-113.51487
53.533696,-113.636545,53.555237,-113.557358
53.555237,-113.557358,53.533696,-113.636545
53.508518,-113.632495,53.539011,-113.622655
53.424373,-113.525005,53.559743,-113.528154
53.559743,-113.528154,53.424373,-113.525005
53.605339,-113.484676,53.512999,-113.434865
53.512999,-113.434865,53.605339,-113.484676
53.496047,-113.649223,53.492565,-113.664712
53.492565,-113.664712,53.495325,-113.667481
53.495325,-113.667481,53.496299,-113.623331
53.51936,-113.490681,53.443712,-113.408352
53.443712,-113.408352,53.51936,-113.490681
53.536695,-113.446397,53.556687,-113.385318
53.46894,-113.493152,53.546256,-113.58617
53.479485,-113.502653,53.522057,-113.528225
53.522057,-113.528225,53.459956,-113.513014
53.542556,-113.511129,53.500986,-113.628818
53.500986,-113.628818,53.542556,-113.511129
53.546256,-113.58617,53.46894,-113.493152
53.477475,-113.502629,53.606058,-113.415504
53.535145,-113.477384,53.568006,-113.41151
53.595037,-113.567698,53.550723,-113.444931
53.636376,-113.375209,53.600415,-113.425667
53.587414,-113.444966,53.559743,-113.528154
53.559743,-113.528154,53.587414,-113.444966
