"trips.passengerslogid","trips.passengerid","trips.driverid","trips.pickuplatitide","trips.pickuplongitude","trips.droplatitude","trips.droplongitude","trips.actualpickuptime","trips.pickupdate","trips.pickuphour","trips.droptime","trips.dropdate","trips.drophour"
"1817","650","189","6.8882963928","79.8559351265","6.8882739000","79.8559063000","2015-06-08 10:06:42","2015-06-08","10","2015-06-08 10:08:54","2015-06-08","10"
"1819","605","185","6.8883050471","79.8559019342","6.8882723000","79.8558955000","2015-06-08 10:12:31","2015-06-08","10","2015-06-08 10:12:38","2015-06-08","10"
"1823","586","186","6.8903764058","79.8544931039","6.8880900000","79.8561583000","2015-06-08 10:30:25","2015-06-08","10","2015-06-08 10:31:35","2015-06-08","10"
"1828","650","187","6.8883203585","79.8559351265","6.8880033000","79.8557633000","2015-06-08 10:46:25","2015-06-08","10","2015-06-08 11:05:33","2015-06-08","11"
"1831","361","62","6.8881902117","79.8560430855","6.8881314000","79.8571688000","2015-06-08 10:47:03","2015-06-08","10","2015-06-08 11:03:50","2015-06-08","11"
"1833","586","186","6.8881352905","79.8559887707","6.8880500000","79.8558483000","2015-06-08 10:46:17","2015-06-08","10","2015-06-08 10:56:45","2015-06-08","10"
"1834","656","241","6.8882720943","79.8557735234","6.8882553000","79.8557874000","2015-06-08 11:00:01","2015-06-08","11","2015-06-08 11:00:28","2015-06-08","11"
"1836","656","241","6.8882474630","79.8557758704","6.8882619000","79.8557873000","2015-06-08 11:11:06","2015-06-08","11","2015-06-08 11:12:09","2015-06-08","11"
"1839","586","62","6.8879891666","79.8557349667","6.8881748000","79.8558075000","2015-06-08 11:28:13","2015-06-08","11","2015-06-08 11:28:26","2015-06-08","11"
"1840","650","189","6.8882684329","79.8557969928","6.8882649000","79.8558879000","2015-06-08 11:30:39","2015-06-08","11","2015-06-08 11:32:58","2015-06-08","11"
"1845","650","187","6.8912704524","79.8559508845","6.8882585000","79.8559044000","2015-06-08 12:01:51","2015-06-08","12","2015-06-08 12:02:06","2015-06-08","12"
"1846","35","152","6.8587984388","79.8694470897","6.8880683000","79.8558116000","2015-06-08 12:08:17","2015-06-08","12","2015-06-08 12:41:38","2015-06-08","12"
"1850","586","185","6.8882967257","79.8558261618","6.8882789000","79.8558976000","2015-06-08 13:02:34","2015-06-08","13","2015-06-08 13:02:36","2015-06-08","13"
"1851","586","189","6.8882967257","79.8558261618","6.8880216000","79.8558783000","2015-06-08 12:21:23","2015-06-08","12","2015-06-08 12:22:09","2015-06-08","12"
"1857","712","185","6.9526567206","80.2113040164","6.9547410000","80.2071170000","2015-06-08 13:14:35","2015-06-08","13","2015-06-08 13:14:53","2015-06-08","13"
"1863","650","189","6.8882884043","79.8558409140","6.8883044000","79.8559223000","2015-06-08 14:14:42","2015-06-08","14","2015-06-08 14:14:58","2015-06-08","14"
"1864","650","189","6.8872202680","79.8556119204","6.8882739000","79.8558889000","2015-06-08 14:27:52","2015-06-08","14","2015-06-08 14:28:14","2015-06-08","14"
"1882","586","185","6.8906563364","79.8552122712","6.8882708000","79.8558889000","2015-06-08 16:37:12","2015-06-08","16","2015-06-08 16:37:15","2015-06-08","16"
"1883","586","186","6.7983561876","79.8728216439","6.7982720000","79.8726030000","2015-06-08 16:40:35","2015-06-08","16","2015-06-08 16:40:43","2015-06-08","16"
"1884","586","186","6.7984224385","79.8726690933","6.7982720000","79.8726030000","2015-06-08 16:41:57","2015-06-08","16","2015-06-08 16:42:00","2015-06-08","16"
"1885","586","186","6.8881113248","79.8559924588","6.8881916000","79.8550233000","2015-06-08 17:05:50","2015-06-08","17","2015-06-08 17:06:01","2015-06-08","17"
"1890","655","187","6.8882341487","79.8558040336","6.8881186000","79.8557631000","2015-06-08 17:49:45","2015-06-08","17","2015-06-08 17:50:42","2015-06-08","17"
"1907","35","185","6.8883443241","79.8559109867","6.8880549000","79.8557248000","2015-06-08 19:38:19","2015-06-08","19","2015-06-08 19:38:27","2015-06-08","19"
"1912","35","164","6.8587964415","79.8694460839","6.8881239000","79.8558470000","2015-06-09 09:16:42","2015-06-09","9","2015-06-09 09:16:53","2015-06-09","9"
"1923","684","164","6.9107490000","79.8671570000","6.9016105000","79.8692690000","2015-06-09 10:16:13","2015-06-09","10","2015-06-09 11:11:46","2015-06-09","11"
"1926","151","241","6.8882061888","79.8557691649","6.8881974000","79.8557726000","2015-06-09 10:21:05","2015-06-09","10","2015-06-09 10:30:16","2015-06-09","10"
"1929","151","241","6.8882041917","79.8557410017","6.8880269000","79.8557785000","2015-06-09 10:38:56","2015-06-09","10","2015-06-09 11:41:24","2015-06-09","11"
"1931","373","55","11.0214255159","76.9166279957","11.0214323000","76.9165684000","2015-06-09 10:43:26","2015-06-09","10","2015-06-09 10:43:31","2015-06-09","10"
"1937","712","185","6.9559997920","80.2081611380","6.9547410000","80.2071170000","2015-06-09 11:13:38","2015-06-09","11","2015-06-09 11:15:37","2015-06-09","11"
"1946","670","22","6.8880204551","79.8557550833","6.8880810000","79.8553918000","2015-06-09 14:41:53","2015-06-09","14","2015-06-09 14:53:48","2015-06-09","14"
"1947","728","185","6.9566780000","80.2089260000","6.9547410000","80.2071170000","2015-06-09 15:10:35","2015-06-09","15","2015-06-09 15:11:51","2015-06-09","15"
"1948","730","22","6.9098546563","79.8527278751","6.9081969000","79.8555350000","2015-06-09 15:46:10","2015-06-09","15","2015-06-09 15:46:16","2015-06-09","15"
"1950","728","185","6.9358050000","79.9844290000","6.8880383000","79.8558400000","2015-06-09 16:07:07","2015-06-09","16","2015-06-09 16:20:54","2015-06-09","16"
"1951","586","22","6.8881160000","79.8558440000","6.8882884000","79.8559988000","2015-06-09 16:06:57","2015-06-09","16","2015-06-09 16:20:54","2015-06-09","16"
"1952","666","16","6.8881719046","79.8557379842","6.8680497000","79.9144765000","2015-06-09 16:10:01","2015-06-09","16","2015-06-09 16:10:06","2015-06-09","16"
"1954","731","241","6.8882274916","79.8557738587","6.8880269000","79.8557785000","2015-06-09 16:34:44","2015-06-09","16","2015-06-09 16:35:44","2015-06-09","16"
"1958","684","204","6.9327470000","79.8429420000","7.1023354000","79.9125157000","2015-06-09 17:47:45","2015-06-09","17","2015-06-09 17:47:52","2015-06-09","17"
"1966","731","22","6.9153042290","79.8528210819","6.9356046000","79.8949268000","2015-06-09 19:06:34","2015-06-09","19","2015-06-09 20:55:09","2015-06-09","20"
"1975","592","15","6.8680709623","79.8699121177","6.8883623000","79.8561909000","2015-06-10 08:55:16","2015-06-10","8","2015-06-10 09:07:30","2015-06-10","9"
"1978","35","216","6.8588653470","79.8693931103","6.8880966000","79.8557783000","2015-06-10 09:39:11","2015-06-10","9","2015-06-10 10:43:36","2015-06-10","10"
"1980","684","175","6.9107480000","79.8670390000","6.9323766000","79.8438933000","2015-06-10 10:53:05","2015-06-10","10","2015-06-10 10:53:24","2015-06-10","10"
"1983","592","22","6.8882141774","79.8557738587","6.9380019000","79.8506966000","2015-06-10 10:58:06","2015-06-10","10","2015-06-10 13:54:29","2015-06-10","13"
"1985","361","63","6.8882294887","79.8560400680","6.9063504000","79.8495938000","2015-06-10 11:17:04","2015-06-10","11","2015-06-10 11:25:20","2015-06-10","11"
"1987","361","63","6.9063331864","79.8495930433","6.8881165000","79.8558329000","2015-06-10 11:33:58","2015-06-10","11","2015-06-10 11:45:27","2015-06-10","11"
"1994","590","225","6.8929440000","79.8641910000","6.8881083000","79.8558966000","2015-06-10 12:39:47","2015-06-10","12","2015-06-10 13:15:02","2015-06-10","13"
"1995","590","22","6.8907580000","79.8561600000","6.9087449000","79.8505502000","2015-06-10 14:40:00","2015-06-10","14","2015-06-10 14:48:05","2015-06-10","14"
"1999","654","217","6.8881815575","79.8557849228","6.8315103000","79.8719719000","2015-06-10 18:29:17","2015-06-10","18","2015-06-10 19:10:48","2015-06-10","19"
"2003","592","217","6.8882141774","79.8557909578","6.9534721000","79.8614142000","2015-06-10 19:49:48","2015-06-10","19","2015-06-10 20:52:30","2015-06-10","20"
"2004","361","217","6.9531293116","79.8611493409","6.8888603000","79.8591874000","2015-06-11 07:44:53","2015-06-11","7","2015-06-11 08:18:04","2015-06-11","8"
"2009","684","157","6.9105150000","79.8666580000","6.9116421000","79.8654709000","2015-06-11 09:33:08","2015-06-11","9","2015-06-11 10:37:14","2015-06-11","10"
"2018","727","217","6.8882011960","79.8557101563","6.8881709000","79.8558879000","2015-06-11 09:57:54","2015-06-11","9","2015-06-11 12:03:02","2015-06-11","12"
"2023","151","225","6.8903774043","79.8544931039","6.9171316000","79.8555966000","2015-06-11 10:37:35","2015-06-11","10","2015-06-12 23:04:55","2015-06-12","23"
"2039","35","217","6.8881808918","79.8557708412","6.8611920000","79.8647133000","2015-06-11 12:55:27","2015-06-11","12","2015-06-11 13:51:43","2015-06-11","13"
"2044","737","65","6.8681272173","79.8698990420","6.8625536000","79.8822718000","2015-06-11 13:49:16","2015-06-11","13","2015-06-11 13:49:23","2015-06-11","13"
"2049","610","217","6.8891225408","79.8550278693","6.8701096000","79.9077370000","2015-06-11 14:54:09","2015-06-11","14","2015-06-11 15:23:44","2015-06-11","15"
"2051","35","216","6.8588240703","79.8694259673","6.8882225000","79.8557922000","2015-06-11 15:25:55","2015-06-11","15","2015-06-11 15:25:59","2015-06-11","15"
"2062","361","62","6.8880763749","79.8557798937","","","2015-06-11 15:11:49","2015-06-11","15","2015-06-11 15:18:12","2015-06-11","15"
"2069","361","253","6.8880793706","79.8557798937","","","2015-06-11 15:24:13","2015-06-11","15","2015-06-11 15:51:09","2015-06-11","15"
"2070","650","189","6.8797612210","79.8563870788","","","2015-06-11 15:24:04","2015-06-11","15","2015-06-11 15:35:15","2015-06-11","15"
"2077","666","175","6.9367750597","79.8516308516","6.9118250000","79.8499783000","2015-06-11 16:15:16","2015-06-11","16","2015-06-11 16:15:20","2015-06-11","16"
"2108","361","61","6.8954404286","79.8526450619","","","2015-06-11 19:52:22","2015-06-11","19","2015-06-11 19:56:17","2015-06-11","19"
"2112","610","241","6.9329402700","79.8646851629","","","2015-06-11 23:38:55","2015-06-11","23","2015-06-12 19:34:43","2015-06-12","19"
"2120","35","17","6.8881722375","79.8557420075","6.8935368000","79.8532631000","2015-06-12 10:12:14","2015-06-12","10","2015-06-12 10:12:18","2015-06-12","10"
"2121","35","124","6.8587921141","79.8694470897","6.8996283000","79.8560139000","2015-06-12 10:15:38","2015-06-12","10","2015-06-12 11:10:28","2015-06-12","11"
"2133","35","16","6.8881689089","79.8557570949","6.8586976000","79.8693777000","2015-06-12 12:49:20","2015-06-12","12","2015-06-12 13:15:10","2015-06-12","13"
"2142","592","14","6.8881772303","79.8557591066","6.8931082000","79.8763973000","2015-06-12 14:23:49","2015-06-12","14","2015-06-12 14:54:04","2015-06-12","14"
"2147","747","14","6.8951794733","79.8549031466","6.8922474000","79.8559384000","2015-06-12 15:53:50","2015-06-12","15","2015-06-12 16:16:56","2015-06-12","16"
"2170","731","217","6.8882374773","79.8557798937","6.8314901000","79.8718659000","2015-06-12 19:41:19","2015-06-12","19","2015-06-12 20:12:27","2015-06-12","20"
"2179","666","217","6.8882840771","79.8560098931","7.0299293000","79.9065501000","2015-06-13 03:38:42","2015-06-13","3","2015-06-13 04:18:58","2015-06-13","4"
"2180","592","164","6.8680503243","79.8698869720","6.8831229000","79.8671855000","2015-06-13 07:21:52","2015-06-13","7","2015-06-13 07:30:05","2015-06-13","7"
"2192","590","270","6.8884750000","79.8562300000","","","2015-06-13 14:24:58","2015-06-13","14","2015-06-13 14:25:38","2015-06-13","14"
"2193","590","268","6.8881600000","79.8557380000","","","2015-06-13 14:32:11","2015-06-13","14","2015-06-13 14:32:46","2015-06-13","14"
"2204","654","274","6.8882877386","79.8559099808","","","2015-06-13 16:24:46","2015-06-13","16","2015-06-13 17:07:08","2015-06-13","17"
"2212","35","270","6.8587931127","79.8694460839","","","2015-06-13 17:23:53","2015-06-13","17","2015-06-13 17:42:10","2015-06-13","17"
"2217","590","293","6.9088900000","79.8692470000","","","2015-06-14 09:49:41","2015-06-14","9","2015-06-14 09:59:01","2015-06-14","9"
"2224","729","299","6.8881043348","79.8557879403","","","2015-06-14 12:20:07","2015-06-14","12","2015-06-14 12:20:52","2015-06-14","12"
"2225","590","125","6.8880790000","79.8555610000","","","2015-06-14 12:27:06","2015-06-14","12","2015-06-14 12:49:17","2015-06-14","12"
"2226","729","299","6.8881096605","79.8557879403","","","2015-06-14 12:25:22","2015-06-14","12","2015-06-14 12:25:56","2015-06-14","12"
"2227","795","299","6.8870255467","79.8571793362","","","2015-06-14 12:52:49","2015-06-14","12","2015-06-14 12:52:56","2015-06-14","12"
"2229","590","310","6.9108950000","79.8669430000","","","2015-06-14 13:48:37","2015-06-14","13","2015-06-14 13:58:02","2015-06-14","13"
"2231","590","310","6.8881250000","79.8558680000","","","2015-06-14 14:01:03","2015-06-14","14","2015-06-14 14:04:22","2015-06-14","14"
"2232","35","289","6.8846808965","79.8734439164","","","2015-06-14 14:56:32","2015-06-14","14","2015-06-14 15:22:36","2015-06-14","15"
"2236","610","121","6.8881991988","79.8557691649","","","2015-06-14 15:32:32","2015-06-14","15","2015-06-14 17:12:17","2015-06-14","17"
"2238","35","265","6.8587931127","79.8694460839","","","2015-06-14 16:55:45","2015-06-14","16","2015-06-14 17:31:41","2015-06-14","17"
"2241","801","301","6.8589525607","79.8963908851","","","2015-06-14 19:54:56","2015-06-14","19","2015-06-14 19:55:48","2015-06-14","19"
"2243","592","300","6.8680712951","79.8698960245","","","2015-06-15 11:06:31","2015-06-15","11","2015-06-15 11:06:45","2015-06-15","11"
"2250","590","283","6.9106040000","79.8669840000","","","2015-06-15 09:17:14","2015-06-15","9","2015-06-15 09:31:08","2015-06-15","9"
"2251","610","216","6.8882294887","79.8557959870","6.9383625000","79.8574430000","2015-06-15 10:51:12","2015-06-15","10","2015-06-15 11:18:39","2015-06-15","11"
"2252","684","265","6.9107020000","79.8669630000","","","2015-06-15 10:54:14","2015-06-15","10","2015-07-03 14:50:14","2015-07-03","14"
"2260","35","298","6.8588653470","79.8695188388","","","2015-06-15 11:58:46","2015-06-15","11","2015-06-15 12:12:08","2015-06-15","12"
"2261","590","217","6.9285160000","79.8497350000","6.8880857000","79.8558045000","2015-06-15 12:03:12","2015-06-15","12","2015-06-15 12:47:47","2015-06-15","12"
"2265","763","277","6.8882360000","79.8558750000","","","2015-06-15 15:20:22","2015-06-15","15","2015-06-15 15:49:02","2015-06-15","15"
"2266","806","301","6.9048929709","79.8507718742","","","2015-06-15 15:23:44","2015-06-15","15","2015-06-15 15:23:52","2015-06-15","15"
"2267","727","301","6.8885197392","79.8557034507","","","2015-06-15 15:29:13","2015-06-15","15","2015-06-15 16:47:56","2015-06-15","16"
"2279","361","278","6.8971173291","79.8542040959","","","2015-06-15 18:31:52","2015-06-15","18","2015-06-15 18:32:13","2015-06-15","18"
"2285","655","318","6.8880690521","79.8571917415","","","2015-06-15 19:00:29","2015-06-15","19","2015-06-15 19:01:34","2015-06-15","19"
"2286","361","278","6.8973852732","79.8541118950","","","2015-06-15 18:33:09","2015-06-15","18","2015-06-15 19:02:11","2015-06-15","19"
"2292","727","217","6.8880284436","79.8557909578","7.0399797000","79.8980201000","2015-06-15 19:28:11","2015-06-15","19","2015-06-15 21:17:45","2015-06-15","21"
"2302","590","309","6.8906570000","79.8565430000","","","2015-06-15 21:10:31","2015-06-15","21","2015-06-15 21:34:48","2015-06-15","21"
"2305","605","289","6.8886850000","79.8569760000","","","2015-06-15 21:38:41","2015-06-15","21","2015-06-15 22:34:11","2015-06-15","22"
"2308","809","278","6.8055468463","79.9212241173","","","2015-06-16 02:44:11","2015-06-16","2","2015-06-16 02:44:32","2015-06-16","2"
"2309","809","278","6.7797879508","80.0017001107","","","2015-06-16 06:11:16","2015-06-16","6","2015-06-16 06:17:15","2015-06-16","6"
"2310","809","278","6.7834601725","80.0032510981","","","2015-06-16 06:30:37","2015-06-16","6","2015-06-16 06:31:30","2015-06-16","6"
"2312","592","293","6.8680420025","79.8698658496","","","2015-06-16 08:53:09","2015-06-16","8","2015-06-16 09:03:41","2015-06-16","9"
"2315","590","294","6.9105750000","79.8669740000","","","2015-06-16 09:46:55","2015-06-16","9","2015-06-16 09:56:36","2015-06-16","9"
"2316","35","164","6.8587991045","79.8694460839","","","2015-06-16 09:23:23","2015-06-16","9","2015-06-16 09:55:43","2015-06-16","9"
"2319","805","258","6.9455460000","79.8679970000","6.9416151000","79.8783040000","2015-06-16 09:21:23","2015-06-16","9","2015-06-16 09:23:36","2015-06-16","9"
"2331","805","318","6.9348740000","79.8528430000","","","2015-06-16 09:57:35","2015-06-16","9","2015-06-16 10:15:52","2015-06-16","10"
"2332","809","278","6.7768541485","80.0124668330","","","2015-06-16 09:53:32","2015-06-16","9","2015-06-16 09:55:32","2015-06-16","9"
"2335","805","318","6.8907850000","79.8553720000","","","2015-06-16 10:36:06","2015-06-16","10","2015-06-16 10:51:23","2015-06-16","10"
"2339","807","323","6.8881858846","79.8557718471","","","2015-06-16 11:49:40","2015-06-16","11","2015-06-16 11:51:45","2015-06-16","11"
"2340","807","323","6.8881988660","79.8557798937","","","2015-06-16 11:58:06","2015-06-16","11","2015-06-16 11:58:22","2015-06-16","11"
"2341","807","323","6.8881988660","79.8557798937","","","2015-06-16 12:00:29","2015-06-16","12","2015-06-16 12:02:31","2015-06-16","12"
"2344","727","35","6.9131391189","79.8498300835","6.8882860000","79.8559317000","2015-06-16 12:08:39","2015-06-16","12","2015-06-16 12:44:47","2015-06-16","12"
"2345","729","324","6.8882681001","79.8559569195","","","2015-06-16 12:52:19","2015-06-16","12","2015-06-16 12:53:25","2015-06-16","12"
"2346","729","324","6.8882681001","79.8559569195","","","2015-06-16 12:57:45","2015-06-16","12","2015-06-16 17:27:35","2015-06-16","17"
"2351","35","313","6.8882431358","79.8558791354","","","2015-06-16 13:33:39","2015-06-16","13","2015-06-16 13:38:57","2015-06-16","13"
"2353","807","326","6.8882291559","79.8558650538","","","2015-06-16 14:03:13","2015-06-16","14","2015-06-16 14:03:39","2015-06-16","14"
"2355","807","326","6.8889311489","79.8556390777","","","2015-06-16 14:10:17","2015-06-16","14","2015-06-16 14:10:47","2015-06-16","14"
"2356","807","327","6.8882647715","79.8558613658","","","2015-06-16 14:37:08","2015-06-16","14","2015-06-16 14:38:15","2015-06-16","14"
"2359","807","327","6.8882291559","79.8558650538","","","2015-06-16 14:48:03","2015-06-16","14","2015-06-16 14:48:10","2015-06-16","14"
"2360","35","294","6.9043291322","79.8522340134","","","2015-06-16 14:58:43","2015-06-16","14","2015-06-16 15:07:00","2015-06-16","15"
"2361","590","326","6.8880520000","79.8559120000","","","2015-06-16 14:54:41","2015-06-16","14","2015-06-16 15:38:46","2015-06-16","15"
"2364","807","327","6.8882291559","79.8558650538","","","2015-06-16 14:53:39","2015-06-16","14","2015-06-16 14:54:07","2015-06-16","14"
"2377","805","217","6.8903880000","79.8595180000","7.1199083000","79.9102075000","2015-06-16 19:45:11","2015-06-16","19","2015-06-16 21:41:50","2015-06-16","21"
"2379","590","309","6.8885280000","79.8558360000","","","2015-06-16 20:09:28","2015-06-16","20","2015-06-16 20:27:06","2015-06-16","20"
"2381","592","125","6.8882061888","79.8557611182","","","2015-06-16 20:40:59","2015-06-16","20","2015-06-16 20:54:50","2015-06-16","20"
"2383","35","324","6.8884734722","79.8559180275","","","2015-06-16 20:57:57","2015-06-16","20","2015-06-16 21:55:36","2015-06-16","21"
"2386","731","86","6.9337074301","79.8647951335","7.1732010000","79.8871421000","2015-06-17 03:24:42","2015-06-17","3","2015-06-17 03:49:30","2015-06-17","3"
